"timestamp","heartrate"
1477504025000,71
1477504040000,71
1477504050000,71
1477504060000,67
1477504070000,68
1477504080000,69
1477504090000,68
1477504095000,69
1477504105000,71
1477504110000,69
1477504120000,68
1477504130000,66
1477504140000,73
1477504150000,74
1477504160000,78
1477504175000,77
1477504180000,76
1477504190000,75
1477504200000,73
1477504215000,73
1477504220000,71
1477504230000,72
1477504245000,72
1477504250000,69
1477504260000,70
1477504270000,70
1477504275000,68
1477504280000,72
1477504290000,70
1477504300000,71
1477504310000,72
1477504315000,71
1477504320000,70
1477504330000,69
1477504340000,71
1477504355000,71
1477504360000,74
1477504370000,75
1477504380000,74
1477504390000,75
1477504405000,75
1477504410000,76
1477504415000,75
1477504430000,75
1477504445000,75
1477504460000,68
1477504470000,70
1477504480000,69
1477504495000,69
1477504500000,71
1477504510000,70
1477504520000,69
1477504530000,67
1477504545000,67
1477504560000,67
1477504570000,66
1477504575000,67
1477504590000,69
1477504595000,70
1477504610000,69
1477504620000,70
1477504625000,69
1477504630000,69
1477504640000,68
1477504650000,70
1477504660000,69
1477504670000,68
1477504680000,65
1477504690000,67
1477504700000,66
1477504715000,66
1477504730000,67
1477504740000,70
1477504750000,67
1477504760000,68
1477504770000,67
1477504780000,68
1477504785000,67
1477504790000,66
1477504800000,69
1477504810000,67
1477504815000,67
1477504830000,65
1477504840000,79
1477504850000,72
1477504855000,71
1477504870000,71
1477504880000,79
1477504890000,78
1477504900000,74
1477504905000,74
1477504915000,74
1477504920000,73
1477504930000,73
1477504940000,71
1477504945000,70
1477504960000,71
1477504970000,70
1477504985000,70
1477504990000,69
1477505000000,69
1477505010000,67
1477505020000,71
1477505030000,71
1477505040000,69
1477505050000,68
1477505065000,68
1477505070000,68
1477505085000,67
1477505100000,66
1477505110000,67
1477505120000,70
1477505130000,72
1477505140000,68
1477505155000,68
1477505160000,71
1477505170000,71
1477505180000,67
1477505190000,68
1477505200000,67
1477505205000,66
1477505210000,64
1477505215000,64
1477505220000,64
1477505225000,64
1477505235000,65
1477505240000,66
1477505250000,68
1477505260000,70
1477505270000,69
1477505275000,69
1477505280000,66
1477505290000,65
1477505295000,66
1477505310000,66
1477505315000,65
1477505330000,65
1477505335000,65
1477505340000,65
1477505345000,64
1477505360000,64
1477505365000,65
1477505370000,64
1477505375000,65
1477505380000,73
1477505390000,77
1477505400000,76
1477505410000,74
